"Data","Nazwa","ISIN","Waluta","Kurs otwarcia","Kurs max","Kurs min","Kurs zamknięcia","Zmiana","Wolumen","Liczba Transakcji","Obrót","Liczba otwartych pozycji","Wartość otwartych pozycji","Cena nominalna"
"2019-10-11","EFEKT","PLEFEKT00018","PLN","16.4","16.4","15.6","15.7","-4.27","795","5","12.44","0","0","0"
"2019-10-11","EKOEXPORT","PLEKEP000019","PLN","5.8","6.69","5.7","6.2","5.08","142349","457","891.32","0","0","0"
"2019-10-11","ELBUDOWA","PLELTBD00017","PLN","6.1","6.24","5.94","6","-2.6","39429","126","237.98","0","0","0"
"2019-10-11","ELEKTROTI","PLELEKT00016","PLN","3.8","3.8","3.76","3.76","-1.05","286","22","1.08","0","0","0"
"2019-10-11","ELEMENTAL","PLELMTL00017","PLN","1.54","1.558","1.506","1.542","0.13","1802648","90","2754.3","0","0","0"
"2019-10-11","ELKOP","PLELKOP00013","PLN","0.814","0.814","0.742","0.812","0","12327","16","9.28","0","0","0"
"2019-10-11","ELZAB","PLELZAB00010","PLN","1.93","1.93","1.87","1.87","-2.6","110","2","0.21","0","0","0"
"2019-10-11","EMCINSMED","PLEMCIM00017","PLN","4.8","4.96","4.8","4.96","-0.8","415","2","1.99","0","0","0"
"2019-10-11","ENAP","PLENAP000010","PLN","1.09","1.1","1.06","1.06","-2.75","115204","8","126.28","0","0","0"
"2019-10-11","ENEA","PLENEA000013","PLN","8.305","8.49","8.22","8.425","2.37","167492","395","1401.91","0","0","0"
"2019-10-11","ENELMED","PLENLMD00017","PLN","0","0","0","14.5","0","0","0","0","0","0","0"
"2019-10-11","ENERGA","PLENERG00022","PLN","6.045","6.19","6.04","6.175","3.09","337959","747","2075.26","0","0","0"
"2019-10-11","ENERGOINS","PLERGIN00015","PLN","0.812","0.812","0.766","0.812","-0.25","10473","6","8.11","0","0","0"
"2019-10-11","ENTER","PLENTER00017","PLN","41.5","43","40.9","41","0.24","9511","112","394.15","0","0","0"
"2019-10-11","ERBUD","PLERBUD00012","PLN","14.45","14.45","13.6","14.45","0","4833","13","66.37","0","0","0"
"2019-10-11","ERG","PLERGZB00014","PLN","29.8","29.8","29.8","29.8","0","1","1","0.03","0","0","0"
"2019-10-11","ERGIS","PLEUFLM00017","PLN","0","0","0","3.17","0","0","0","0","0","0","0"
"2019-10-11","ESOTIQ","PLESTHN00018","PLN","12.85","12.85","12","12.4","0.81","1688","18","20.64","0","0","0"
"2019-10-11","ESSYSTEM","PLESSYS00030","PLN","2.68","2.68","2.64","2.64","-2.22","645","3","1.7","0","0","0"
"2019-10-11","ESTAR","HU0000089198","PLN","0","0","0","1.5","0","0","0","0","0","0","0"
"2019-10-11","EUCO","PLERPCO00017","PLN","2.32","2.32","2.15","2.24","-2.18","5593","23","12.24","0","0","0"
"2019-10-11","EUROCASH","PLEURCH00011","PLN","20.8","21.06","20.48","20.64","0.19","294684","1326","6105.63","0","0","0"
"2019-10-11","EUROHOLD","BG1100114062","PLN","5.8","5.8","5.8","5.8","0","1","1","0.01","0","0","0"
"2019-10-11","EUROTEL","PLERTEL00011","PLN","20.5","20.6","20.5","20.6","0.49","930","12","19.15","0","0","0"
